,Qubits,Scope,Healed,CZXEB,SQRB,idle_freqs_GHz,int_freqs_GHz,Calibration Failures
Baseline,68,,False,"((('q6_5', 'q6_6'), 0.01485099501993356), (('q7_6', 'q8_6'), 0.04331119418081311), (('q6_4', 'q7_4'), 0.020451629455020826), (('q4_2', 'q5_2'), 0.06824834531017182), (('q5_7', 'q6_7'), 0.00972933717902777), (('q8_5', 'q9_5'), 0.011567937341712853), (('q4_3', 'q4_4'), 0.009689521653750588), (('q6_9', 'q7_9'), 0.03052920778466167), (('q8_5', 'q8_6'), 0.05616048074415528), (('q1_4', 'q1_5'), 0.01075391884189339), (('q2_7', 'q3_7'), 0.01244509557964471), (('q3_2', 'q3_3'), 0.008872676611423491), (('q3_6', 'q4_6'), 0.011156762501104034), (('q5_5', 'q5_6'), 0.01485099501993356), (('q3_2', 'q4_2'), 0.007141445931594853), (('q7_5', 'q8_5'), 0.01485099501993356), (('q2_3', 'q3_3'), 0.004803123093876732), (('q9_4', 'q9_5'), 0.020754430343758734), (('q5_0', 'q6_0'), 0.013970272755860574), (('q6_6', 'q7_6'), 0.00746262468812392), (('q5_9', 'q5_10'), 0.011653267489152297), (('q5_4', 'q5_5'), 0.2999524980741459), (('q6_2', 'q6_3'), None), (('q0_5', 'q1_5'), 0.011465187483576833), (('q7_7', 'q7_8'), 0.006085444142282431), (('q1_4', 'q2_4'), 0.007448903936911472), (('q5_3', 'q6_3'), 0.00844274175019713), (('q4_3', 'q5_3'), 0.012475919841322985), (('q6_5', 'q7_5'), 0.029407920635757617), (('q6_3', 'q7_3'), 0.029407920635757617), (('q8_7', 'q8_8'), 0.02780533851213879), (('q5_0', 'q5_1'), 0.008337561671984434), (('q5_6', 'q5_7'), 0.010081654282123376), (('q7_8', 'q8_8'), 0.01485099501993356), (('q8_3', 'q8_4'), 0.0515324239210842), (('q3_3', 'q3_4'), 0.017296168513327326), (('q5_9', 'q6_9'), 0.013264001834551509), (('q6_9', 'q6_10'), 0.026179419936394666), (('q9_4', 'q10_4'), 0.029407920635757617), (('q5_1', 'q6_1'), 0.01412375012574793), (('q10_5', 'q10_6'), 0.00746262468812392), (('q7_3', 'q7_4'), 0.011017669094276816), (('q7_1', 'q7_2'), 0.032026247204580915), (('q3_7', 'q3_8'), 0.016519887539517553), (('q5_8', 'q6_8'), 0.014346129334180308), (('q6_7', 'q7_7'), 0.01164133154928948), (('q6_8', 'q6_9'), 0.01002463208809179), (('q4_6', 'q5_6'), 0.014891392594826997), (('q5_10', 'q6_10'), 0.030705681649864536), (('q8_6', 'q8_7'), 0.20531176723049221), (('q7_5', 'q7_6'), 0.029407920635757617), (('q5_1', 'q5_2'), 0.1259666778827503), (('q3_4', 'q4_4'), 0.008869761610185434), (('q3_7', 'q4_7'), 0.006501563499943963), (('q4_6', 'q4_7'), 0.02004859814254742), (('q10_5', 'q11_5'), 0.022343804645226506), (('q2_6', 'q3_6'), 0.014867717451732182), (('q7_8', 'q7_9'), 0.11274856411318446), (('q6_2', 'q7_2'), 0.029407920635757617), (('q4_2', 'q4_3'), 0.005718886031595982), (('q9_5', 'q10_5'), 0.07189192149606119), (('q7_2', 'q7_3'), 0.01485099501993356), (('q6_0', 'q6_1'), 0.01485099501993356), (('q3_4', 'q3_5'), 0.06993714004811266), (('q5_2', 'q5_3'), 0.046303062916622145), (('q5_4', 'q6_4'), 0.011261528872781285), (('q7_7', 'q8_7'), 0.00783335760067766), (('q3_5', 'q3_6'), 0.00746262468812392), (('q2_4', 'q3_4'), 0.007907148280034942), (('q5_6', 'q6_6'), 0.029407920635757617), (('q8_7', 'q9_7'), 0.2988048926178315), (('q4_7', 'q5_7'), 0.009142821254859657), (('q8_4', 'q9_4'), 0.01762291692856363), (('q2_5', 'q3_5'), 0.016710425803945578), (('q2_3', 'q2_4'), 0.017536279585114667), (('q2_4', 'q2_5'), 0.029397258963731798), (('q9_5', 'q9_6'), 0.1308031319107554), (('q8_4', 'q8_5'), 0.019568023764773262), (('q6_1', 'q6_2'), 0.28376325417450016), (('q6_7', 'q6_8'), 0.011129865267194061), (('q2_6', 'q2_7'), 0.022400597884334822), (('q5_3', 'q5_4'), 0.02320894843235613), (('q1_5', 'q2_5'), 0.25323322161584755), (('q6_8', 'q7_8'), 0.029407920635757617), (('q5_8', 'q5_9'), 0.02127599967593069), (('q5_5', 'q6_5'), 0.1315600643726985), (('q2_5', 'q2_6'), 0.27277437823199746), (('q7_6', 'q7_7'), 0.022016280016596806), (('q8_6', 'q9_6'), 0.036625515000696385), (('q4_9', 'q5_9'), 0.10639242855878728), (('q6_1', 'q7_1'), 0.00746262468812392), (('q3_3', 'q4_3'), 0.018818670946807475), (('q6_6', 'q6_7'), 0.023984577782184213), (('q7_4', 'q7_5'), 0.08213167839807359), (('q4_1', 'q4_2'), 0.007363349068578218), (('q10_4', 'q10_5'), 0.29032159067345426), (('q7_4', 'q8_4'), 0.009599177070012288), (('q9_6', 'q10_6'), 0.00374064060548826), (('q9_6', 'q9_7'), 0.00746262468812392), (('q8_2', 'q8_3'), 0.01669989125130844), (('q5_7', 'q5_8'), 0.02180098528010227), (('q6_3', 'q6_4'), 0.14000396293437614), (('q6_4', 'q6_5'), 0.029407920635757617), (('q4_1', 'q5_1'), 0.007112395269958327), (('q5_2', 'q6_2'), 0.03196175288510619), (('q4_4', 'q5_4'), 0.00898101582896782), (('q7_2', 'q8_2'), 0.01485099501993356), (('q7_3', 'q8_3'), 0.012088998334005785), (('q3_6', 'q3_7'), 0.01978340671727022))","(('q0_5', 0.000941515431095663), ('q1_4', 0.000507271162799916), ('q1_5', 0.0019202332022396629), ('q2_3', 0.0005298695673199294), ('q2_4', 0.0015737977725119867), ('q2_5', 0.009994087355057135), ('q2_6', 0.000838964243059348), ('q2_7', 0.0023950333152932823), ('q3_2', 0.0006229767937938058), ('q3_3', 0.0006472657514197122), ('q3_4', 0.0007143527591944587), ('q3_5', 0.053192153929158825), ('q3_6', 0.0011482908656446078), ('q3_7', 0.00082569606591687), ('q3_8', 0.0017146818835950817), ('q4_1', 0.000662100894888773), ('q4_2', 0.0007644592164738895), ('q4_3', 0.0006817525134048541), ('q4_4', 0.0014542860227564902), ('q4_6', 0.0012057970244416238), ('q4_7', 0.0014426067754595429), ('q4_9', 0.0022554467379050647), ('q5_0', 0.0009338586310758679), ('q5_1', 0.0005760141233274729), ('q5_2', 0.0018905823731590332), ('q5_3', 0.0018297284332947639), ('q5_4', 0.0030668437233646317), ('q5_5', 0.001828903933368542), ('q5_6', 0.001905871958882921), ('q5_7', 0.001019685969762485), ('q5_8', 0.0033062964537019512), ('q5_9', 0.0008215826104442381), ('q5_10', 0.0008760460147344551), ('q6_0', 0.0015999771494705772), ('q6_1', 0.005105694849681652), ('q6_2', 0.045729307941443476), ('q6_3', 0.036044415687198406), ('q6_4', 0.030636483785407065), ('q6_5', 0.00623510830596169), ('q6_6', 0.003674547487905966), ('q6_7', 0.002362743407456791), ('q6_8', 0.0009522875574906609), ('q6_9', 0.0009770396224750844), ('q6_10', 0.0005969698098709508), ('q7_1', 0.0009132868420073104), ('q7_2', 0.023908906443161182), ('q7_3', 0.0006409361010240033), ('q7_4', 0.0007211093126034407), ('q7_5', 0.042017219573625586), ('q7_6', 0.002015627655564567), ('q7_7', 0.0017857419731469593), ('q7_8', 0.002842152992825253), ('q7_9', 0.0009454420784721362), ('q8_2', 0.0007012573899416452), ('q8_3', 0.0010643695132954711), ('q8_4', 0.0008691055191348274), ('q8_5', 0.0009284364203451245), ('q8_6', 0.031970065515817714), ('q8_7', 0.0008103800057909782), ('q8_8', 0.00042853003360832087), ('q9_4', 0.0012376618599143074), ('q9_5', 0.0017171491318140886), ('q9_6', 0.02395032906288097), ('q9_7', 0.006625733591764604), ('q10_4', 0.035173953041404915), ('q10_5', 0.028980426773284163), ('q10_6', 0.02409393538492649), ('q11_5', 0.0006541003212959806))","(('q0_5', 5.7999999999995815), ('q1_4', 5.855999999999575), ('q1_5', 5.90799999999957), ('q2_3', 5.709999999999591), ('q2_4', 5.913999999999569), ('q2_5', 5.985999999999561), ('q2_6', 5.867999999999574), ('q2_7', 6.105999999999548), ('q3_2', 5.727999999999589), ('q3_3', 5.797999999999582), ('q3_4', 5.887999999999572), ('q3_5', 5.909999999999569), ('q3_6', 6.0719999999995515), ('q3_7', 5.961999999999564), ('q3_8', 6.08399999999955), ('q4_1', 5.919999999999568), ('q4_2', 6.095999999999549), ('q4_3', 5.9539999999995645), ('q4_4', 5.733999999999589), ('q4_6', 5.833999999999578), ('q4_7', 6.013999999999558), ('q4_9', 5.897999999999571), ('q5_0', 5.749999999999587), ('q5_1', 5.797999999999582), ('q5_2', 5.753999999999587), ('q5_3', 5.711999999999591), ('q5_4', 5.969999999999563), ('q5_5', 5.851999999999576), ('q5_6', 6.113999999999547), ('q5_7', 5.7999999999995815), ('q5_8', 6.005999999999559), ('q5_9', 6.233999999999534), ('q5_10', 5.9999999999995595), ('q6_0', 5.757999999999586), ('q6_1', 5.8819999999995725), ('q6_2', 5.989999999999561), ('q6_3', 5.985999999999561), ('q6_4', 5.81199999999958), ('q6_5', 6.019999999999557), ('q6_6', 5.947999999999565), ('q6_7', 5.845999999999576), ('q6_8', 5.727999999999589), ('q6_9', 6.163999999999541), ('q6_10', 6.123999999999546), ('q7_1', 5.749999999999587), ('q7_2', 5.9819999999995614), ('q7_3', 6.103999999999548), ('q7_4', 5.827999999999578), ('q7_5', 5.765999999999585), ('q7_6', 5.747999999999587), ('q7_7', 6.123999999999546), ('q7_8', 5.857999999999575), ('q7_9', 6.187999999999539), ('q8_2', 5.795999999999582), ('q8_3', 5.707999999999592), ('q8_4', 5.71999999999959), ('q8_5', 5.879999999999573), ('q8_6', 5.847999999999576), ('q8_7', 5.7179999999995905), ('q8_8', 6.0179999999995575), ('q9_4', 6.193999999999538), ('q9_5', 5.80999999999958), ('q9_6', 6.125999999999546), ('q9_7', 6.169999999999541), ('q10_4', 6.0179999999995575), ('q10_5', 6.0179999999995575), ('q10_6', 6.119999999999546), ('q11_5', 6.17999999999954))","((('q6_5', 'q6_6'), 6.079999999999551), (('q7_6', 'q8_6'), 6.021999999999557), (('q6_4', 'q7_4'), 5.649999999999598), (('q4_2', 'q5_2'), 5.643999999999599), (('q5_7', 'q6_7'), 6.0359999999995555), (('q8_5', 'q9_5'), 5.90599999999957), (('q4_3', 'q4_4'), 5.783999999999583), (('q6_9', 'q7_9'), 5.745999999999587), (('q8_5', 'q8_6'), 5.613999999999602), (('q1_4', 'q1_5'), 5.897999999999571), (('q2_7', 'q3_7'), 5.807999999999581), (('q3_2', 'q3_3'), 5.655999999999597), (('q3_6', 'q4_6'), 6.041999999999555), (('q5_5', 'q5_6'), 5.673999999999595), (('q3_2', 'q4_2'), 5.5999999999996035), (('q7_5', 'q8_5'), 5.795999999999582), (('q2_3', 'q3_3'), 5.72399999999959), (('q9_4', 'q9_5'), 5.6299999999996), (('q5_0', 'q6_0'), 5.737999999999588), (('q6_6', 'q7_6'), 5.613999999999602), (('q5_9', 'q5_10'), 6.043999999999555), (('q5_4', 'q5_5'), 5.839999999999577), (('q6_2', 'q6_3'), 5.8179999999995795), (('q0_5', 'q1_5'), 5.845999999999576), (('q7_7', 'q7_8'), 5.657999999999597), (('q1_4', 'q2_4'), 5.773999999999584), (('q5_3', 'q6_3'), 5.945999999999565), (('q4_3', 'q5_3'), 5.779999999999584), (('q6_5', 'q7_5'), 6.103999999999548), (('q6_3', 'q7_3'), 5.751999999999587), (('q8_7', 'q8_8'), 5.825999999999579), (('q5_0', 'q5_1'), 5.615999999999602), (('q5_6', 'q5_7'), 5.81199999999958), (('q7_8', 'q8_8'), 5.855999999999575), (('q8_3', 'q8_4'), 5.727999999999589), (('q3_3', 'q3_4'), 5.665999999999596), (('q5_9', 'q6_9'), 5.9819999999995614), (('q6_9', 'q6_10'), 5.769999999999585), (('q9_4', 'q10_4'), 5.659999999999597), (('q5_1', 'q6_1'), 5.793999999999582), (('q10_5', 'q10_6'), 5.857999999999575), (('q7_3', 'q7_4'), 5.949999999999565), (('q7_1', 'q7_2'), 5.887999999999572), (('q3_7', 'q3_8'), 5.665999999999596), (('q5_8', 'q6_8'), 5.659999999999597), (('q6_7', 'q7_7'), 5.807999999999581), (('q6_8', 'q6_9'), 6.051999999999554), (('q4_6', 'q5_6'), 5.803999999999581), (('q5_10', 'q6_10'), 5.72399999999959), (('q8_6', 'q8_7'), 5.777999999999584), (('q7_5', 'q7_6'), 5.727999999999589), (('q5_1', 'q5_2'), 5.6339999999996), (('q3_4', 'q4_4'), 5.859999999999575), (('q3_7', 'q4_7'), 5.99199999999956), (('q4_6', 'q4_7'), 5.81399999999958), (('q10_5', 'q11_5'), 5.943999999999566), (('q2_6', 'q3_6'), 5.659999999999597), (('q7_8', 'q7_9'), 6.105999999999548), (('q6_2', 'q7_2'), 5.7179999999995905), (('q4_2', 'q4_3'), 5.987999999999561), (('q9_5', 'q10_5'), 5.689999999999594), (('q7_2', 'q7_3'), 5.703999999999592), (('q6_0', 'q6_1'), 5.737999999999588), (('q3_4', 'q3_5'), 5.611999999999602), (('q5_2', 'q5_3'), 5.5999999999996035), (('q5_4', 'q6_4'), 5.609999999999602), (('q7_7', 'q8_7'), 5.757999999999586), (('q3_5', 'q3_6'), 5.6179999999996015), (('q2_4', 'q3_4'), 5.81599999999958), (('q5_6', 'q6_6'), 5.769999999999585), (('q8_7', 'q9_7'), 5.673999999999595), (('q4_7', 'q5_7'), 6.033999999999556), (('q8_4', 'q9_4'), 5.979999999999562), (('q2_5', 'q3_5'), 5.81399999999958), (('q2_3', 'q2_4'), 5.639999999999599), (('q2_4', 'q2_5'), 5.975999999999562), (('q9_5', 'q9_6'), 6.037999999999555), (('q8_4', 'q8_5'), 5.771999999999585), (('q6_1', 'q6_2'), 5.739999999999588), (('q6_7', 'q6_8'), 5.979999999999562), (('q2_6', 'q2_7'), 5.967999999999563), (('q5_3', 'q5_4'), 5.897999999999571), (('q1_5', 'q2_5'), 5.841999999999577), (('q6_8', 'q7_8'), 5.941999999999566), (('q5_8', 'q5_9'), 6.123999999999546), (('q5_5', 'q6_5'), 5.729999999999589), (('q2_5', 'q2_6'), 5.805999999999581), (('q7_6', 'q7_7'), 5.579999999999606), (('q8_6', 'q9_6'), 5.8179999999995795), (('q4_9', 'q5_9'), 5.747999999999587), (('q6_1', 'q7_1'), 5.733999999999589), (('q3_3', 'q4_3'), 5.625999999999601), (('q6_6', 'q6_7'), 6.011999999999558), (('q7_4', 'q7_5'), 5.867999999999574), (('q4_1', 'q4_2'), 5.753999999999587), (('q10_4', 'q10_5'), 5.751999999999587), (('q7_4', 'q8_4'), 5.795999999999582), (('q9_6', 'q10_6'), 5.737999999999588), (('q9_6', 'q9_7'), 5.823999999999579), (('q8_2', 'q8_3'), 5.873999999999573), (('q5_7', 'q5_8'), 5.751999999999587), (('q6_3', 'q6_4'), 5.615999999999602), (('q6_4', 'q6_5'), 5.6819999999995945), (('q4_1', 'q5_1'), 5.651999999999598), (('q5_2', 'q6_2'), 5.767999999999585), (('q4_4', 'q5_4'), 5.7999999999995815), (('q7_2', 'q8_2'), 5.831999999999578), (('q7_3', 'q8_3'), 5.843999999999577), (('q3_6', 'q3_7'), 5.653999999999598))",1
Crossover,49,,False,"((('q3_7', 'q4_7'), 0.006591005751393292), (('q5_1', 'q6_1'), 0.0064630548636998575), (('q1_5', 'q2_5'), 0.008944289459287297), (('q3_3', 'q4_3'), 0.006698115805407079), (('q8_6', 'q9_6'), 0.00603400949653482), (('q2_6', 'q3_6'), 0.006511878665343307), (('q4_8', 'q5_8'), 0.007826240060957723), (('q7_3', 'q8_3'), 0.0061760495962683015), (('q7_5', 'q8_5'), 0.008639069544182837), (('q3_5', 'q4_5'), 0.007737227566945448), (('q6_4', 'q7_4'), 0.014746537911778101), (('q5_3', 'q6_3'), 0.005022947166221814), (('q6_8', 'q7_8'), 0.006660907044709841), (('q4_2', 'q5_2'), 0.002493587342103115), (('q5_5', 'q6_5'), 0.0059248903577833745), (('q6_6', 'q7_6'), 0.005898396008104545), (('q4_6', 'q5_6'), 0.005308112969427431), (('q2_4', 'q3_4'), 0.00878633830106515), (('q4_4', 'q5_4'), 0.007446408184160674), (('q5_7', 'q6_7'), 0.005034485239307024), (('q7_3', 'q7_4'), 0.007130691887896806), (('q5_3', 'q5_4'), 0.004836512915747215), (('q8_3', 'q8_4'), 0.006910705588897864), (('q8_5', 'q8_6'), 0.00580676127185209), (('q6_5', 'q6_6'), 0.006015779270966526), (('q9_5', 'q9_6'), 0.005149310251777228), (('q2_5', 'q2_6'), 0.009997104583253869), (('q7_5', 'q7_6'), 0.005780576764386647), (('q6_3', 'q6_4'), 0.013967209176795559), (('q4_5', 'q4_6'), 0.005758470863808263), (('q6_7', 'q6_8'), 0.008525051092311359), (('q3_3', 'q3_4'), 0.0064712842681485805), (('q4_3', 'q4_4'), 0.005215095804078612), (('q6_1', 'q6_2'), 0.0057000575184560365), (('q7_7', 'q7_8'), 0.005311708100103757), (('q5_7', 'q5_8'), 0.006738396923255008), (('q5_1', 'q5_2'), 0.003977158020487537), (('q3_5', 'q3_6'), 0.006958234097561522), (('q5_5', 'q5_6'), 0.005693442416408068), (('q4_7', 'q4_8'), 0.004145483304559799), (('q6_6', 'q6_7'), 0.006936837912033034), (('q3_2', 'q3_3'), 0.004264060178448714), (('q6_2', 'q6_3'), 0.0077444650113140945), (('q6_4', 'q6_5'), 0.009139788014324995), (('q4_6', 'q4_7'), 0.006290802928196337), (('q7_4', 'q7_5'), 0.0036717657468532117), (('q5_2', 'q5_3'), 0.006502825459810901), (('q4_2', 'q4_3'), 0.006331602221006621), (('q8_4', 'q8_5'), 0.00500985441216964), (('q3_4', 'q3_5'), 0.007523575295000529), (('q2_6', 'q2_7'), 0.007004078791125412), (('q7_6', 'q7_7'), 0.008220574827207144), (('q4_8', 'q4_9'), 0.005967590346017876), (('q5_4', 'q5_5'), 0.007245976388556757), (('q1_4', 'q1_5'), 0.005369481774699952), (('q4_4', 'q4_5'), 0.005895585187437158), (('q5_6', 'q5_7'), 0.0060909222229107995), (('q5_8', 'q5_9'), 0.006156545671723468), (('q2_4', 'q2_5'), 0.006664575478130458), (('q3_6', 'q3_7'), 0.008826802143034995), (('q5_2', 'q6_2'), 0.00793960267969357), (('q6_7', 'q7_7'), 0.0060217791254194575), (('q4_7', 'q5_7'), 0.005045031314353771), (('q4_9', 'q5_9'), 0.013788053174614262), (('q3_4', 'q4_4'), 0.004235050803692186), (('q3_2', 'q4_2'), 0.0036654502998812455), (('q7_4', 'q8_4'), 0.004466729031875449), (('q5_8', 'q6_8'), 0.007472783747799083), (('q5_6', 'q6_6'), 0.006683783442674285), (('q3_6', 'q4_6'), 0.010287292122107466), (('q1_4', 'q2_4'), 0.004307844544861633), (('q5_4', 'q6_4'), 0.006737570396531695), (('q6_5', 'q7_5'), 0.004725479805590321), (('q4_3', 'q5_3'), 0.005773532051177532), (('q6_3', 'q7_3'), 0.005170764978592701), (('q2_5', 'q3_5'), 0.006203381188288171), (('q8_5', 'q9_5'), 0.005713413410489615), (('q7_6', 'q8_6'), 0.004598687264063539), (('q2_7', 'q3_7'), 0.007182925119126327), (('q4_5', 'q5_5'), 0.005526441239235763))","(('q1_4', 0.000689838792190256), ('q1_5', 0.0008462492170531744), ('q2_4', 0.0003262634461289049), ('q2_5', 0.0010651496343377365), ('q2_6', 0.00042099950713114787), ('q2_7', 0.0011327508127804142), ('q3_2', 0.0006420197066679956), ('q3_3', 0.0004289341001469382), ('q3_4', 0.0006019209731424335), ('q3_5', 0.000692928439736229), ('q3_6', 0.0005574227992672931), ('q3_7', 0.001060699072580995), ('q4_2', 0.0006199951221046995), ('q4_3', 0.0007831764933216578), ('q4_4', 0.0007876171954778743), ('q4_5', 0.0007429376596388426), ('q4_6', 0.001472937842319888), ('q4_7', 0.0005789991698615382), ('q4_8', 0.0008055224349169388), ('q4_9', 0.0008904904518533541), ('q5_1', 0.0007344529157540247), ('q5_2', 0.0007999135081568909), ('q5_3', 0.0005597256422037455), ('q5_4', 0.0005872514391411232), ('q5_5', 0.0010963996674242527), ('q5_6', 0.0007398030030164593), ('q5_7', 0.0004165006003143401), ('q5_8', 0.0007854899072863297), ('q5_9', 0.0007009034783965751), ('q6_1', 0.00035207380002677535), ('q6_2', 0.0009312641797162291), ('q6_3', 0.0008242256239904822), ('q6_4', 0.001047974835529597), ('q6_5', 0.0005799298883573112), ('q6_6', 0.0007132800938099426), ('q6_7', 0.0006578382783251069), ('q6_8', 0.0005199584560969805), ('q7_3', 0.0004883285778817803), ('q7_4', 0.0008830348202593652), ('q7_5', 0.00033642612301598707), ('q7_6', 0.0004969051221442866), ('q7_7', 0.000907010665657515), ('q7_8', 0.0009460605191301541), ('q8_3', 0.0008425074891414974), ('q8_4', 0.0007189281407755654), ('q8_5', 0.0005241646084233054), ('q8_6', 0.0007816957987303308), ('q9_5', 0.0008184524163761253), ('q9_6', 0.000709443374162011))",(),(),0
